2025-01-02 01:43:07.938 UTC [2157] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-02 01:43:07.938 UTC [2157] DETAIL:  Key ("ownerId", checksum)=(aeba3f32-ba7d-4884-98ef-bde17b54c078, \x9562f01cfbf686720756e4b291b53853b025a72a) already exists.
2025-01-02 01:43:07.938 UTC [2157] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-02 01:43:07.998 UTC [2157] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-02 01:43:07.998 UTC [2157] DETAIL:  Key ("ownerId", checksum)=(aeba3f32-ba7d-4884-98ef-bde17b54c078, \xc9924ba2c32a515dab9783ff62eaf415b4bbb1c9) already exists.
2025-01-02 01:43:07.998 UTC [2157] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-02 01:43:43.264 UTC [2174] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-02 01:43:43.264 UTC [2174] DETAIL:  Key ("ownerId", checksum)=(aeba3f32-ba7d-4884-98ef-bde17b54c078, \x8d2f3a2e2fda52f50db75e13f1a4717ccd4fe131) already exists.
2025-01-02 01:43:43.264 UTC [2174] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-02 01:44:07.420 UTC [2174] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-02 01:44:07.420 UTC [2174] DETAIL:  Key ("ownerId", checksum)=(aeba3f32-ba7d-4884-98ef-bde17b54c078, \xa8b48a5b8115046a9ada6209792936df7ad22dc4) already exists.
2025-01-02 01:44:07.420 UTC [2174] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-02 01:44:43.753 UTC [2199] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-02 01:44:43.753 UTC [2199] DETAIL:  Key ("ownerId", checksum)=(aeba3f32-ba7d-4884-98ef-bde17b54c078, \xc71efbe4ad85cc633e95f8b6efb395f166e7d94c) already exists.
